<TICKER>;<PER>;<DATE>;ОТКРЫТИЕ;МАКСИМУМ;МИНИМУМ;ЗАКРЫТИЕ;<VOL>;<TIME>
SPFB.RTS-12.18;1;04.09.2018;106740;106740;106740;106740;1;14:26:00
SPFB.RTS-12.18;1;04.09.2018;106730;106730;106730;106730;5;14:27:00
SPFB.RTS-12.18;1;04.09.2018;106700;106700;106700;106700;82;14:28:00
SPFB.RTS-12.18;1;04.09.2018;106650;106670;106650;106670;2;14:29:00
SPFB.RTS-12.18;1;04.09.2018;106700;106700;106700;106700;1;14:30:00
SPFB.RTS-12.18;1;04.09.2018;106650;106670;106620;106670;4;14:32:00
SPFB.RTS-12.18;1;04.09.2018;106730;106730;106730;106730;1;14:34:00
SPFB.RTS-12.18;1;04.09.2018;106730;106730;106730;106730;1;14:44:00
SPFB.RTS-12.18;1;04.09.2018;106710;106710;106700;106700;7;14:48:00
SPFB.RTS-12.18;1;04.09.2018;106650;106670;106650;106670;7;14:56:00
SPFB.RTS-12.18;1;04.09.2018;106600;106600;106590;106590;2;14:57:00
SPFB.RTS-12.18;1;04.09.2018;106630;106630;106630;106630;4;14:58:00
SPFB.RTS-12.18;1;04.09.2018;106590;106590;106590;106590;1;14:59:00
SPFB.RTS-12.18;1;04.09.2018;106740;106740;106650;106650;3;15:06:00
SPFB.RTS-12.18;1;04.09.2018;106650;106650;106650;106650;1;15:13:00
SPFB.RTS-12.18;1;04.09.2018;106600;106600;106590;106590;3;15:15:00
SPFB.RTS-12.18;1;04.09.2018;106750;106750;106750;106750;2;15:31:00
SPFB.RTS-12.18;1;04.09.2018;106800;106800;106800;106800;1;15:39:00
SPFB.RTS-12.18;1;04.09.2018;106850;106850;106850;106850;1;15:45:00
SPFB.RTS-12.18;1;04.09.2018;106740;106740;106740;106740;4;15:48:00
SPFB.RTS-12.18;1;04.09.2018;106800;106800;106800;106800;20;16:03:00
SPFB.RTS-12.18;1;04.09.2018;106700;106700;106700;106700;1;16:07:00
SPFB.RTS-12.18;1;04.09.2018;106700;106700;106700;106700;1;16:18:00
SPFB.RTS-12.18;1;04.09.2018;106590;106590;106510;106550;11;16:25:00
SPFB.RTS-12.18;1;04.09.2018;106500;106500;106500;106500;5;16:26:00
SPFB.RTS-12.18;1;04.09.2018;106570;106570;106570;106570;2;16:29:00
SPFB.RTS-12.18;1;04.09.2018;106540;106540;106540;106540;1;16:30:00
SPFB.RTS-12.18;1;04.09.2018;106500;106500;106480;106480;3;16:31:00
SPFB.RTS-12.18;1;04.09.2018;106430;106440;106430;106440;2;16:32:00
SPFB.RTS-12.18;1;04.09.2018;106500;106500;106500;106500;2;16:33:00
SPFB.RTS-12.18;1;04.09.2018;106540;106540;106500;106500;2;16:37:00
SPFB.RTS-12.18;1;04.09.2018;106470;106470;106470;106470;1;16:38:00
SPFB.RTS-12.18;1;04.09.2018;106460;106470;106460;106460;28;16:39:00
SPFB.RTS-12.18;1;04.09.2018;106460;106460;106460;106460;1;16:40:00
SPFB.RTS-12.18;1;04.09.2018;106400;106400;106400;106400;6;16:41:00
SPFB.RTS-12.18;1;04.09.2018;106450;106450;106450;106450;1;16:42:00
SPFB.RTS-12.18;1;04.09.2018;106480;106480;106480;106480;1;16:48:00
SPFB.RTS-12.18;1;04.09.2018;106500;106500;106500;106500;3;16:50:00
SPFB.RTS-12.18;1;04.09.2018;106410;106410;106410;106410;1;16:52:00
SPFB.RTS-12.18;1;04.09.2018;106400;106400;106400;106400;29;16:53:00
SPFB.RTS-12.18;1;04.09.2018;106400;106400;106400;106400;16;16:54:00
SPFB.RTS-12.18;1;04.09.2018;106550;106550;106550;106550;1;17:00:00
SPFB.RTS-12.18;1;04.09.2018;106550;106550;106500;106500;2;17:02:00
SPFB.RTS-12.18;1;04.09.2018;106700;106700;106700;106700;1;17:09:00
SPFB.RTS-12.18;1;04.09.2018;106700;106700;106700;106700;18;17:10:00
SPFB.RTS-12.18;1;04.09.2018;106700;106700;106700;106700;9;17:11:00
SPFB.RTS-12.18;1;04.09.2018;106780;106790;106780;106790;3;17:17:00
SPFB.RTS-12.18;1;04.09.2018;106650;106650;106650;106650;1;17:19:00
SPFB.RTS-12.18;1;04.09.2018;106650;106680;106650;106680;3;17:20:00
SPFB.RTS-12.18;1;04.09.2018;106850;106850;106850;106850;1;17:23:00
SPFB.RTS-12.18;1;04.09.2018;106870;106990;106870;106990;5;17:24:00
SPFB.RTS-12.18;1;04.09.2018;107000;107040;107000;107020;3;17:25:00
SPFB.RTS-12.18;1;04.09.2018;107000;107000;107000;107000;10;17:26:00
SPFB.RTS-12.18;1;04.09.2018;106900;106900;106900;106900;5;17:29:00
SPFB.RTS-12.18;1;04.09.2018;106900;106900;106900;106900;17;17:30:00
SPFB.RTS-12.18;1;04.09.2018;106950;106950;106950;106950;1;17:32:00
SPFB.RTS-12.18;1;04.09.2018;106990;107000;106990;107000;19;17:33:00
SPFB.RTS-12.18;1;04.09.2018;106850;106850;106850;106850;1;17:38:00
SPFB.RTS-12.18;1;04.09.2018;106750;106750;106750;106750;1;17:41:00
SPFB.RTS-12.18;1;04.09.2018;106740;106740;106700;106700;2;17:46:00
SPFB.RTS-12.18;1;04.09.2018;106830;106830;106830;106830;2;17:47:00
SPFB.RTS-12.18;1;04.09.2018;106850;106850;106850;106850;1;17:50:00
SPFB.RTS-12.18;1;04.09.2018;106840;106840;106840;106840;2;17:53:00
SPFB.RTS-12.18;1;04.09.2018;107000;107000;106970;106970;3;17:57:00
SPFB.RTS-12.18;1;04.09.2018;107070;107070;107070;107070;1;17:59:00
SPFB.RTS-12.18;1;04.09.2018;107020;107020;107020;107020;1;18:00:00
SPFB.RTS-12.18;1;04.09.2018;107090;107090;107080;107080;4;18:01:00
SPFB.RTS-12.18;1;04.09.2018;106980;106980;106980;106980;2;18:02:00
SPFB.RTS-12.18;1;04.09.2018;106900;106900;106900;106900;2;18:11:00
SPFB.RTS-12.18;1;04.09.2018;106850;106850;106850;106850;1;18:14:00
SPFB.RTS-12.18;1;04.09.2018;106880;106880;106810;106810;6;18:15:00
SPFB.RTS-12.18;1;04.09.2018;106770;106770;106770;106770;1;18:22:00
SPFB.RTS-12.18;1;04.09.2018;106840;106860;106840;106860;13;18:24:00
SPFB.RTS-12.18;1;04.09.2018;106930;107000;106930;107000;4;18:25:00
SPFB.RTS-12.18;1;04.09.2018;106960;106960;106960;106960;1;18:29:00
SPFB.RTS-12.18;1;04.09.2018;106930;106930;106880;106880;2;18:36:00
SPFB.RTS-12.18;1;04.09.2018;106900;106900;106900;106900;1;18:40:00
SPFB.RTS-12.18;1;04.09.2018;106850;106950;106850;106950;3;18:42:00
SPFB.RTS-12.18;1;04.09.2018;106950;106950;106950;106950;1;18:44:00
SPFB.RTS-12.18;1;04.09.2018;106940;106940;106940;106940;1;19:04:00
SPFB.RTS-12.18;1;04.09.2018;106820;106880;106820;106880;3;19:07:00
SPFB.RTS-12.18;1;04.09.2018;106890;106890;106890;106890;1;19:10:00
SPFB.RTS-12.18;1;04.09.2018;106920;106920;106920;106920;5;19:42:00
SPFB.RTS-12.18;1;04.09.2018;106890;106890;106890;106890;2;19:43:00
SPFB.RTS-12.18;1;04.09.2018;106950;106950;106950;106950;1;19:45:00
SPFB.RTS-12.18;1;04.09.2018;107000;107000;107000;107000;1;20:02:00
SPFB.RTS-12.18;1;04.09.2018;106990;106990;106990;106990;1;20:06:00
SPFB.RTS-12.18;1;04.09.2018;106950;106950;106950;106950;3;20:17:00
SPFB.RTS-12.18;1;04.09.2018;106860;106860;106860;106860;1;20:20:00
SPFB.RTS-12.18;1;04.09.2018;106910;106910;106910;106910;1;20:27:00
SPFB.RTS-12.18;1;04.09.2018;106950;106950;106950;106950;1;20:40:00
SPFB.RTS-12.18;1;04.09.2018;106950;106950;106870;106870;4;20:50:00
SPFB.RTS-12.18;1;04.09.2018;106920;106920;106910;106910;5;20:58:00
SPFB.RTS-12.18;1;04.09.2018;106940;106940;106940;106940;2;21:08:00
SPFB.RTS-12.18;1;04.09.2018;107050;107050;107050;107050;1;21:18:00
SPFB.RTS-12.18;1;04.09.2018;106940;106940;106940;106940;5;21:23:00
SPFB.RTS-12.18;1;04.09.2018;106850;106850;106850;106850;1;21:40:00
SPFB.RTS-12.18;1;04.09.2018;106840;106840;106750;106750;5;21:41:00
SPFB.RTS-12.18;1;04.09.2018;106750;106750;106750;106750;1;21:42:00
SPFB.RTS-12.18;1;04.09.2018;106820;106820;106820;106820;1;21:46:00
SPFB.RTS-12.18;1;04.09.2018;106810;106810;106810;106810;1;21:47:00
SPFB.RTS-12.18;1;04.09.2018;106800;106800;106800;106800;1;21:48:00
SPFB.RTS-12.18;1;04.09.2018;106730;106730;106730;106730;1;21:52:00
SPFB.RTS-12.18;1;04.09.2018;106770;106770;106770;106770;1;21:58:00
SPFB.RTS-12.18;1;04.09.2018;106780;106780;106780;106780;1;22:04:00
SPFB.RTS-12.18;1;04.09.2018;106750;106750;106750;106750;10;22:12:00
SPFB.RTS-12.18;1;04.09.2018;106710;106710;106700;106700;2;22:13:00
SPFB.RTS-12.18;1;04.09.2018;106690;106690;106660;106660;6;22:14:00
SPFB.RTS-12.18;1;04.09.2018;106660;106660;106660;106660;1;22:16:00
SPFB.RTS-12.18;1;04.09.2018;106630;106630;106630;106630;1;22:24:00
SPFB.RTS-12.18;1;04.09.2018;106550;106550;106550;106550;1;22:25:00
SPFB.RTS-12.18;1;04.09.2018;106570;106570;106570;106570;5;22:26:00
SPFB.RTS-12.18;1;04.09.2018;106570;106570;106570;106570;1;22:28:00
SPFB.RTS-12.18;1;04.09.2018;106600;106600;106600;106600;2;22:29:00
SPFB.RTS-12.18;1;04.09.2018;106600;106600;106600;106600;7;22:31:00
SPFB.RTS-12.18;1;04.09.2018;106600;106600;106600;106600;1;22:32:00
SPFB.RTS-12.18;1;04.09.2018;106530;106530;106530;106530;2;22:37:00
SPFB.RTS-12.18;1;04.09.2018;106500;106500;106490;106490;2;22:38:00
SPFB.RTS-12.18;1;04.09.2018;106490;106490;106490;106490;1;22:39:00
SPFB.RTS-12.18;1;04.09.2018;106470;106470;106470;106470;1;22:40:00
SPFB.RTS-12.18;1;04.09.2018;106490;106540;106490;106540;4;22:41:00
SPFB.RTS-12.18;1;04.09.2018;106460;106460;106460;106460;1;22:44:00
SPFB.RTS-12.18;1;04.09.2018;106450;106450;106450;106450;1;22:46:00
SPFB.RTS-12.18;1;04.09.2018;106450;106450;106450;106450;1;22:47:00
SPFB.RTS-12.18;1;04.09.2018;106470;106470;106470;106470;1;22:49:00
SPFB.RTS-12.18;1;04.09.2018;106420;106420;106340;106340;11;22:50:00
SPFB.RTS-12.18;1;04.09.2018;106370;106370;106370;106370;1;22:51:00
SPFB.RTS-12.18;1;04.09.2018;106370;106370;106370;106370;1;22:56:00
SPFB.RTS-12.18;1;04.09.2018;106510;106510;106510;106510;1;23:07:00
SPFB.RTS-12.18;1;04.09.2018;106550;106600;106550;106600;4;23:09:00
SPFB.RTS-12.18;1;04.09.2018;106550;106550;106550;106550;4;23:10:00
SPFB.RTS-12.18;1;04.09.2018;106630;106630;106630;106630;5;23:15:00
SPFB.RTS-12.18;1;04.09.2018;106650;106650;106650;106650;6;23:18:00
SPFB.RTS-12.18;1;04.09.2018;106640;106640;106640;106640;5;23:19:00
SPFB.RTS-12.18;1;04.09.2018;106640;106640;106640;106640;5;23:24:00
SPFB.RTS-12.18;1;04.09.2018;106660;106670;106660;106670;17;23:25:00
SPFB.RTS-12.18;1;04.09.2018;106700;106760;106700;106760;2;23:26:00
SPFB.RTS-12.18;1;04.09.2018;106680;106680;106680;106680;1;23:36:00
SPFB.RTS-12.18;1;04.10.2018;117890;117890;117140;117230;6021;10:01:00
SPFB.RTS-12.18;1;04.10.2018;117230;117240;116860;116880;5548;10:02:00
SPFB.RTS-12.18;1;04.10.2018;116880;117100;116830;117010;3546;10:03:00
SPFB.RTS-12.18;1;04.10.2018;117010;117140;116910;117090;2615;10:04:00
SPFB.RTS-12.18;1;04.10.2018;117080;117160;117030;117080;1639;10:05:00
SPFB.RTS-12.18;1;04.10.2018;117060;117150;117030;117110;1344;10:06:00
SPFB.RTS-12.18;1;04.10.2018;117110;117140;117040;117040;1114;10:07:00
SPFB.RTS-12.18;1;04.10.2018;117040;117120;117000;117090;1397;10:08:00
SPFB.RTS-12.18;1;04.10.2018;117110;117150;117020;117070;1574;10:09:00
SPFB.RTS-12.18;1;04.10.2018;117060;117140;117020;117130;1137;10:10:00
SPFB.RTS-12.18;1;04.10.2018;117120;117170;117060;117170;922;10:11:00
SPFB.RTS-12.18;1;04.10.2018;117180;117260;117120;117170;1704;10:12:00
SPFB.RTS-12.18;1;04.10.2018;117180;117330;117180;117310;1262;10:13:00
SPFB.RTS-12.18;1;04.10.2018;117300;117320;117220;117280;708;10:14:00
SPFB.RTS-12.18;1;04.10.2018;117280;117300;117200;117300;757;10:15:00
SPFB.RTS-12.18;1;04.10.2018;117300;117320;117220;117280;1157;10:16:00
SPFB.RTS-12.18;1;04.10.2018;117260;117300;117210;117300;441;10:17:00
SPFB.RTS-12.18;1;04.10.2018;117300;117320;117250;117250;678;10:18:00
SPFB.RTS-12.18;1;04.10.2018;117250;117290;117190;117210;1029;10:19:00
SPFB.RTS-12.18;1;04.10.2018;117230;117310;117200;117300;661;10:20:00
SPFB.RTS-12.18;1;04.10.2018;117300;117310;117240;117310;500;10:21:00
SPFB.RTS-12.18;1;04.10.2018;117310;117440;117300;117350;1783;10:22:00
SPFB.RTS-12.18;1;04.10.2018;117370;117600;117370;117510;2721;10:23:00
SPFB.RTS-12.18;1;04.10.2018;117500;117600;117500;117550;987;10:24:00
SPFB.RTS-12.18;1;04.10.2018;117550;117680;117540;117580;1749;10:25:00
SPFB.RTS-12.18;1;04.10.2018;117580;117590;117470;117500;1284;10:26:00
SPFB.RTS-12.18;1;04.10.2018;117480;117540;117460;117460;1021;10:27:00
SPFB.RTS-12.18;1;04.10.2018;117480;117480;117350;117420;1388;10:28:00
SPFB.RTS-12.18;1;04.10.2018;117410;117490;117380;117430;669;10:29:00
SPFB.RTS-12.18;1;04.10.2018;117420;117450;117320;117380;598;10:30:00
SPFB.RTS-12.18;1;04.10.2018;117400;117400;117270;117310;949;10:31:00
SPFB.RTS-12.18;1;04.10.2018;117300;117310;117170;117270;1428;10:32:00
SPFB.RTS-12.18;1;04.10.2018;117270;117360;117240;117310;800;10:33:00
SPFB.RTS-12.18;1;04.10.2018;117300;117360;117290;117330;326;10:34:00
SPFB.RTS-12.18;1;04.10.2018;117310;117400;117310;117360;607;10:35:00
SPFB.RTS-12.18;1;04.10.2018;117350;117430;117350;117380;574;10:36:00
SPFB.RTS-12.18;1;04.10.2018;117390;117420;117350;117400;387;10:37:00
SPFB.RTS-12.18;1;04.10.2018;117400;117580;117400;117530;1171;10:38:00
SPFB.RTS-12.18;1;04.10.2018;117520;117570;117470;117560;761;10:39:00
SPFB.RTS-12.18;1;04.10.2018;117550;117590;117500;117590;797;10:40:00
SPFB.RTS-12.18;1;04.10.2018;117590;117590;117450;117500;1261;10:41:00
SPFB.RTS-12.18;1;04.10.2018;117510;117670;117490;117600;1386;10:42:00
SPFB.RTS-12.18;1;04.10.2018;117590;117610;117550;117600;466;10:43:00
SPFB.RTS-12.18;1;04.10.2018;117600;117790;117590;117790;1728;10:44:00
SPFB.RTS-12.18;1;04.10.2018;117790;117960;117780;117870;3128;10:45:00
SPFB.RTS-12.18;1;04.10.2018;117880;117930;117800;117810;1346;10:46:00
SPFB.RTS-12.18;1;04.10.2018;117800;117870;117780;117870;611;10:47:00
SPFB.RTS-12.18;1;04.10.2018;117880;117970;117870;117900;825;10:48:00
SPFB.RTS-12.18;1;04.10.2018;117900;117950;117850;117850;595;10:49:00
SPFB.RTS-12.18;1;04.10.2018;117860;117950;117850;117900;390;10:50:00
SPFB.RTS-12.18;1;04.10.2018;117900;117910;117810;117880;964;10:51:00
SPFB.RTS-12.18;1;04.10.2018;117880;117910;117830;117870;383;10:52:00
SPFB.RTS-12.18;1;04.10.2018;117870;117890;117730;117760;893;10:53:00
SPFB.RTS-12.18;1;04.10.2018;117740;117810;117680;117730;1274;10:54:00
SPFB.RTS-12.18;1;04.10.2018;117730;117790;117720;117740;427;10:55:00
SPFB.RTS-12.18;1;04.10.2018;117740;117790;117720;117780;240;10:56:00
SPFB.RTS-12.18;1;04.10.2018;117770;117780;117730;117740;335;10:57:00
SPFB.RTS-12.18;1;04.10.2018;117740;117800;117740;117800;158;10:58:00
SPFB.RTS-12.18;1;04.10.2018;117790;117800;117630;117720;1236;10:59:00
SPFB.RTS-12.18;1;04.10.2018;117730;117780;117640;117660;477;11:00:00
SPFB.RTS-12.18;1;04.10.2018;117660;117680;117580;117620;1218;11:01:00
SPFB.RTS-12.18;1;04.10.2018;117620;117730;117610;117680;1001;11:02:00
SPFB.RTS-12.18;1;04.10.2018;117690;117710;117650;117670;353;11:03:00
SPFB.RTS-12.18;1;04.10.2018;117650;117660;117570;117570;657;11:04:00
SPFB.RTS-12.18;1;04.10.2018;117580;117640;117560;117570;560;11:05:00
SPFB.RTS-12.18;1;04.10.2018;117570;117590;117400;117430;1745;11:06:00
SPFB.RTS-12.18;1;04.10.2018;117420;117480;117310;117360;1044;11:07:00
SPFB.RTS-12.18;1;04.10.2018;117360;117370;117220;117220;1356;11:08:00
SPFB.RTS-12.18;1;04.10.2018;117230;117310;117210;117280;1348;11:09:00
SPFB.RTS-12.18;1;04.10.2018;117280;117330;117270;117330;380;11:10:00
SPFB.RTS-12.18;1;04.10.2018;117320;117320;117150;117150;1252;11:11:00
SPFB.RTS-12.18;1;04.10.2018;117150;117150;117060;117100;2021;11:12:00
SPFB.RTS-12.18;1;04.10.2018;117100;117160;117070;117140;796;11:13:00
SPFB.RTS-12.18;1;04.10.2018;117140;117140;117070;117080;1222;11:14:00
SPFB.RTS-12.18;1;04.10.2018;117090;117110;117030;117090;888;11:15:00
SPFB.RTS-12.18;1;04.10.2018;117090;117130;117050;117100;1215;11:16:00
SPFB.RTS-12.18;1;04.10.2018;117110;117140;117070;117090;578;11:17:00
SPFB.RTS-12.18;1;04.10.2018;117080;117110;117030;117030;862;11:18:00
SPFB.RTS-12.18;1;04.10.2018;117030;117060;116860;116940;4385;11:19:00
SPFB.RTS-12.18;1;04.10.2018;116940;116990;116890;116970;1359;11:20:00
SPFB.RTS-12.18;1;04.10.2018;116970;117060;116930;117030;1565;11:21:00
SPFB.RTS-12.18;1;04.10.2018;117030;117050;116980;117030;1111;11:22:00
SPFB.RTS-12.18;1;04.10.2018;117030;117100;117000;117100;937;11:23:00
SPFB.RTS-12.18;1;04.10.2018;117100;117100;117050;117070;431;11:24:00
SPFB.RTS-12.18;1;04.10.2018;117070;117070;117020;117050;460;11:25:00
SPFB.RTS-12.18;1;04.10.2018;117040;117090;117030;117060;539;11:26:00
SPFB.RTS-12.18;1;04.10.2018;117060;117170;117050;117140;1021;11:27:00
SPFB.RTS-12.18;1;04.10.2018;117140;117140;117080;117100;405;11:28:00
SPFB.RTS-12.18;1;04.10.2018;117100;117160;117070;117070;788;11:29:00
SPFB.RTS-12.18;1;04.10.2018;117080;117080;116940;116960;998;11:30:00
SPFB.RTS-12.18;1;04.10.2018;116950;116950;116740;116850;4903;11:31:00
SPFB.RTS-12.18;1;04.10.2018;116840;116880;116820;116830;931;11:32:00
SPFB.RTS-12.18;1;04.10.2018;116850;116850;116780;116840;931;11:33:00
SPFB.RTS-12.18;1;04.10.2018;116850;116870;116760;116810;1119;11:34:00
SPFB.RTS-12.18;1;04.10.2018;116800;116840;116790;116840;398;11:35:00
SPFB.RTS-12.18;1;04.10.2018;116830;116910;116800;116890;556;11:36:00
SPFB.RTS-12.18;1;04.10.2018;116880;116880;116830;116840;249;11:37:00
SPFB.RTS-12.18;1;04.10.2018;116860;116860;116810;116860;312;11:38:00
SPFB.RTS-12.18;1;04.10.2018;116850;116910;116830;116910;476;11:39:00
SPFB.RTS-12.18;1;04.10.2018;116910;116910;116860;116860;352;11:40:00
SPFB.RTS-12.18;1;04.10.2018;116860;116960;116860;116940;664;11:41:00
