<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.RTS-12.18;1;04.09.2018;1;1069300;1069300;1069300;1069300;5
SPFB.RTS-12.18;1;04.09.2018;1;1069000;1069000;1068500;1068500;2
SPFB.RTS-12.18;1;04.09.2018;1;1070000;1070800;1070000;1070800;7
SPFB.RTS-12.18;1;04.09.2018;1;1071200;1071200;1071200;1071200;1
SPFB.RTS-12.18;1;04.09.2018;1;1069500;1069500;1069200;1069200;4
SPFB.RTS-12.18;1;04.09.2018;1;1070000;1070000;1070000;1070000;6
SPFB.RTS-12.18;1;04.09.2018;1;1070000;1070100;1070000;1070100;15
SPFB.RTS-12.18;1;04.09.2018;1;1070600;1070600;1070600;1070600;1
SPFB.RTS-12.18;1;04.09.2018;1;1070700;1070700;1070700;1070700;1
SPFB.RTS-12.18;1;04.09.2018;1;1070500;1070500;1070500;1070500;1
SPFB.RTS-12.18;1;04.09.2018;1;1070200;1070200;1068500;1068500;3
SPFB.RTS-12.18;1;04.09.2018;1;1068100;1068600;1068100;1068500;3
SPFB.RTS-12.18;1;04.09.2018;1;1069900;1070000;1069900;1070000;3
SPFB.RTS-12.18;1;04.09.2018;1;1070000;1070000;1070000;1070000;1
SPFB.RTS-12.18;1;04.09.2018;1;1070000;1070000;1070000;1070000;1
SPFB.RTS-12.18;1;04.09.2018;1;1070100;1070100;1070100;1070100;1
SPFB.RTS-12.18;1;04.09.2018;1;1069000;1069300;1069000;1069300;12
SPFB.RTS-12.18;1;04.09.2018;1;1069000;1069300;1068700;1069300;13
SPFB.RTS-12.18;1;04.09.2018;1;1069300;1069300;1069300;1069300;10
SPFB.RTS-12.18;1;04.09.2018;1;1068500;1068500;1067000;1067000;61
SPFB.RTS-12.18;1;04.09.2018;1;1067000;1068500;1067000;1068500;6
SPFB.RTS-12.18;1;04.09.2018;1;1068700;1068700;1068700;1068700;1
SPFB.RTS-12.18;1;04.09.2018;1;1068100;1068100;1067600;1067600;9
SPFB.RTS-12.18;1;04.09.2018;1;1067500;1067500;1067500;1067500;1
SPFB.RTS-12.18;1;04.09.2018;1;1067400;1067400;1067400;1067400;1
SPFB.RTS-12.18;1;04.09.2018;1;1067300;1067300;1067300;1067300;5
SPFB.RTS-12.18;1;04.09.2018;1;1067000;1067000;1067000;1067000;82
SPFB.RTS-12.18;1;04.09.2018;1;1066500;1066700;1066500;1066700;2
SPFB.RTS-12.18;1;04.09.2018;1;1067000;1067000;1067000;1067000;1
SPFB.RTS-12.18;1;04.09.2018;1;1066500;1066700;1066200;1066700;4
SPFB.RTS-12.18;1;04.09.2018;1;1067300;1067300;1067300;1067300;1
SPFB.RTS-12.18;1;04.09.2018;1;1067300;1067300;1067300;1067300;1
SPFB.RTS-12.18;1;04.09.2018;1;1067100;1067100;1067000;1067000;7
SPFB.RTS-12.18;1;04.09.2018;1;1066500;1066700;1066500;1066700;7
SPFB.RTS-12.18;1;04.09.2018;1;1066000;1066000;1065900;1065900;2
SPFB.RTS-12.18;1;04.09.2018;1;1066300;1066300;1066300;1066300;4
SPFB.RTS-12.18;1;04.09.2018;1;1065900;1065900;1065900;1065900;1
SPFB.RTS-12.18;1;04.09.2018;1;1067400;1067400;1066500;1066500;3
SPFB.RTS-12.18;1;04.09.2018;1;1066500;1066500;1066500;1066500;1
SPFB.RTS-12.18;1;04.09.2018;1;1066000;1066000;1065900;1065900;3
SPFB.RTS-12.18;1;04.09.2018;1;1067500;1067500;1067500;1067500;2
SPFB.RTS-12.18;1;04.09.2018;1;1068000;1068000;1068000;1068000;1
SPFB.RTS-12.18;1;04.09.2018;1;1068500;1068500;1068500;1068500;1
SPFB.RTS-12.18;1;04.09.2018;1;1067400;1067400;1067400;1067400;4
SPFB.RTS-12.18;1;04.09.2018;1;1068000;1068000;1068000;1068000;20
SPFB.RTS-12.18;1;04.09.2018;1;1067000;1067000;1067000;1067000;1
SPFB.RTS-12.18;1;04.09.2018;1;1067000;1067000;1067000;1067000;1
SPFB.RTS-12.18;1;04.09.2018;1;1065900;1065900;1065100;1065500;11
SPFB.RTS-12.18;1;04.09.2018;1;1065000;1065000;1065000;1065000;5
SPFB.RTS-12.18;1;04.09.2018;1;1065700;1065700;1065700;1065700;2
SPFB.RTS-12.18;1;04.09.2018;1;1065400;1065400;1065400;1065400;1
SPFB.RTS-12.18;1;04.09.2018;1;1065000;1065000;1064800;1064800;3
SPFB.RTS-12.18;1;04.09.2018;1;1064300;1064400;1064300;1064400;2
SPFB.RTS-12.18;1;04.09.2018;1;1065000;1065000;1065000;1065000;2
SPFB.RTS-12.18;1;04.09.2018;1;1065400;1065400;1065000;1065000;2
SPFB.RTS-12.18;1;04.09.2018;1;1064700;1064700;1064700;1064700;1
SPFB.RTS-12.18;1;04.09.2018;1;1064600;1064700;1064600;1064600;28
SPFB.RTS-12.18;1;04.09.2018;1;1064600;1064600;1064600;1064600;1
SPFB.RTS-12.18;1;04.09.2018;1;1064000;1064000;1064000;1064000;6
SPFB.RTS-12.18;1;04.09.2018;1;1064500;1064500;1064500;1064500;1
SPFB.RTS-12.18;1;04.09.2018;1;1064800;1064800;1064800;1064800;1
SPFB.RTS-12.18;1;04.09.2018;1;1065000;1065000;1065000;1065000;3
SPFB.RTS-12.18;1;04.09.2018;1;1064100;1064100;1064100;1064100;1
SPFB.RTS-12.18;1;04.09.2018;1;1064000;1064000;1064000;1064000;29
SPFB.RTS-12.18;1;04.09.2018;1;1064000;1064000;1064000;1064000;16
SPFB.RTS-12.18;1;04.09.2018;1;1065500;1065500;1065500;1065500;1
SPFB.RTS-12.18;1;04.09.2018;1;1065500;1065500;1065000;1065000;2
SPFB.RTS-12.18;1;04.09.2018;1;1067000;1067000;1067000;1067000;1
SPFB.RTS-12.18;1;04.09.2018;1;1067000;1067000;1067000;1067000;18
SPFB.RTS-12.18;1;04.09.2018;1;1067000;1067000;1067000;1067000;9
SPFB.RTS-12.18;1;04.09.2018;1;1067800;1067900;1067800;1067900;3
SPFB.RTS-12.18;1;04.09.2018;1;1066500;1066500;1066500;1066500;1
SPFB.RTS-12.18;1;04.09.2018;1;1066500;1066800;1066500;1066800;3
SPFB.RTS-12.18;1;04.09.2018;1;1068500;1068500;1068500;1068500;1
SPFB.RTS-12.18;1;04.09.2018;1;1068700;1069900;1068700;1069900;5
SPFB.RTS-12.18;1;04.09.2018;1;1070000;1070400;1070000;1070200;3
SPFB.RTS-12.18;1;04.09.2018;1;1070000;1070000;1070000;1070000;10
SPFB.RTS-12.18;1;04.09.2018;1;1069000;1069000;1069000;1069000;5
SPFB.RTS-12.18;1;04.09.2018;1;1069000;1069000;1069000;1069000;17
SPFB.RTS-12.18;1;04.09.2018;1;1069500;1069500;1069500;1069500;1
SPFB.RTS-12.18;1;04.09.2018;1;1069900;1070000;1069900;1070000;19
SPFB.RTS-12.18;1;04.09.2018;1;1068500;1068500;1068500;1068500;1
SPFB.RTS-12.18;1;04.09.2018;1;1067500;1067500;1067500;1067500;1
SPFB.RTS-12.18;1;04.09.2018;1;1067400;1067400;1067000;1067000;2
SPFB.RTS-12.18;1;04.09.2018;1;1068300;1068300;1068300;1068300;2
SPFB.RTS-12.18;1;04.09.2018;1;1068500;1068500;1068500;1068500;1
SPFB.RTS-12.18;1;04.09.2018;1;1068400;1068400;1068400;1068400;2
SPFB.RTS-12.18;1;04.09.2018;1;1070000;1070000;1069700;1069700;3
SPFB.RTS-12.18;1;04.09.2018;1;1070700;1070700;1070700;1070700;1
SPFB.RTS-12.18;1;04.09.2018;1;1070200;1070200;1070200;1070200;1
SPFB.RTS-12.18;1;04.09.2018;1;1070900;1070900;1070800;1070800;4
SPFB.RTS-12.18;1;04.09.2018;1;1069800;1069800;1069800;1069800;2
SPFB.RTS-12.18;1;04.09.2018;1;1069000;1069000;1069000;1069000;2
SPFB.RTS-12.18;1;04.09.2018;1;1068500;1068500;1068500;1068500;1
SPFB.RTS-12.18;1;04.09.2018;1;1068800;1068800;1068100;1068100;6
SPFB.RTS-12.18;1;04.09.2018;1;1067700;1067700;1067700;1067700;1
SPFB.RTS-12.18;1;04.09.2018;1;1068400;1068600;1068400;1068600;13
SPFB.RTS-12.18;1;04.09.2018;1;1069300;1070000;1069300;1070000;4
SPFB.RTS-12.18;1;04.09.2018;1;1069600;1069600;1069600;1069600;1
SPFB.RTS-12.18;1;04.09.2018;1;1069300;1069300;1068800;1068800;2
SPFB.RTS-12.18;1;04.09.2018;1;1069000;1069000;1069000;1069000;1
SPFB.RTS-12.18;1;04.09.2018;1;1068500;1069500;1068500;1069500;3
SPFB.RTS-12.18;1;04.09.2018;1;1069500;1069500;1069500;1069500;1
SPFB.RTS-12.18;1;04.09.2018;1;1069400;1069400;1069400;1069400;1
